,id,artist,title,album,popularity
0,4Oun2ylbjFKMPTiaSbbCih,Cardi B,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),92
1,2SAqBLGA283SUiwJ3xOUVI,Drake,Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),83
2,3H7ihDc1dqLriiWXwsc2po,Topic,Breaking Me,Breaking Me,96
3,6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Fine Line,97
4,7ytR5pFWmSjzHJIeQkgog4,DaBaby,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,100
5,6wQlQrTY5mVS8EGaFZVwVF,Juice WRLD,Smile (with The Weeknd),Legends Never Die,84
6,5T490vvoFNU6psep0NPmxs,Jawsh 685,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),89
7,4wosxLl0mAqhneDzya2MfY,Joel Corry,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),70
8,0EhpEsp4L0oRGM0vmeaN5e,J Balvin,UN DIA (ONE DAY) (Feat. Tainy),UN DIA (ONE DAY) (Feat. Tainy),93
9,27ycaQnQAxaPiyeg3nr2aB,Miley Cyrus,Midnight Sky,Midnight Sky,79
10,1IIKrJVP1C9N7iPtG6eOsK,Chris Brown,Go Crazy,Slime & B,91
11,6o3QUC5oAE4g6WxRIFcZtb,Juice WRLD,Wishing Well,Legends Never Die,91
12,2ygvZOXrIeVL4xZmAWJT2C,Billie Eilish,my future,my future,91
13,1raaNykBg1bDnWENUiglUA,Dua Lipa,Break My Heart,Break My Heart,87
14,24Yi9hE78yPEbZ4kxyoXAI,SAINt JHN,Roses - Imanbek Remix,Roses (Imanbek Remix),95
15,3kwgqoBqTwoAH4nT29TYrq,Maroon 5,Nobody's Love,Nobody's Love,87
16,5f1joOtoMeyppIcJGZQvqJ,Kane Brown,Be Like That - feat. Swae Lee & Khalid,Be Like That (feat. Swae Lee & Khalid),86
17,7y7w4tl4MaRC2UMEj1mPtr,Juice WRLD,Come & Go (with Marshmello),Legends Never Die,91
18,70rFIfYN7lU6iTgUIVP42w,Machine Gun Kelly,my ex's best friend (with blackbear),my ex's best friend (with blackbear),82
19,2MbdDtCv5LUVjYy9RuGTgC,Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",93
20,3Z8FwOEN59mRMxDCtb8N0A,Marshmello,Be Kind (with Halsey),Be Kind (with Halsey),91
21,2KoHxhRyWxJzA0VafWd5Nk,Sam Smith,My Oasis (feat. Burna Boy),My Oasis (feat. Burna Boy),84
22,1H7KnK26kc1YyellpbINEn,Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),Shoot For The Stars Aim For The Moon,92
23,2LUdpPCiiza6UQugipjMeS,Curtis Waters,Stunnin',Stunnin',66
24,76nqCfJOcFFWBJN32PAksn,Ava Max,Kings & Queens,Kings & Queens,91
25,4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,folklore,93
26,4HBZA5flZLE435QTztThqH,Ariana Grande,Stuck with U (with Justin Bieber),Stuck with U,93
27,45bE4HXI0AwGZXfZtMp8JR,Tate McRae,you broke me first,you broke me first,88
28,3tjFYV6RSFtuktYl3ZtYcq,24kGoldn,Mood (feat. Iann Dior),Mood (feat. Iann Dior),83
29,5RqR4ZCCKJDcBLIn4sih9l,StaySolidRocky,Party Girl,Party Girl,93
30,59qrUpoplZxbIZxk6X0Bm3,Jason Derulo,Take You Dancing,Take You Dancing,84
31,4pvb0WLRcMtbPGmtejJJ6y,Taylor Swift,exile (feat. Bon Iver),folklore,92
32,66W1rVTnEv86dIkFhoiElg,Regard,Secrets,Secrets,89
33,14wf185UxfNbSy8dwt4r4q,Black Eyed Peas,MAMACITA,MAMACITA,90
34,0sf12qNH5qcw8qpgymFOqD,The Weeknd,Blinding Lights,Blinding Lights,54
35,5rZlwNFl01HqLWBQGryKSm,Pop Smoke,Mood Swings (feat. Lil Tjay),Shoot For The Stars Aim For The Moon,90
36,7C1trmcQQ5n5RNy4l6ziCv,Nea,Some Say - Felix Jaehn Remix,Some Say (Felix Jaehn Remix),89
37,4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,Kid Krow,87
38,364dI1bYnvamSnBJ8JcNzN,Justin Bieber,Intentions,Intentions,87
39,6EDO9iiTtwNv6waLwa1UUq,DJ Khaled,POPSTAR (feat. Drake),POPSTAR (feat. Drake),91
40,6AzKhCHOms83jvNVLsz0Bt,Aya Nakamura,Djadja (feat. Maluma) - Remix,Djadja (feat. Maluma) [Remix],91
41,7xbWAw3LMgRMn4omR5yVn3,Kygo,Lose Somebody,Lose Somebody,87
42,4ja2gzrNh9VNigzoXfmbwD,Peach Tree Rascals,Mariposa,Mariposa,87
43,0qJeyYAgv6UpvewUxRXAhb,Rod Wave,Rags2Riches 2 (feat. Lil Baby),Pray 4 Love (Deluxe),79
44,24ySl2hOPGCDcxBxFIqWBu,Lady Gaga,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),92
45,62aP9fBQKYKxi7PDXwcUAS,Surf Mesa,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),94
46,50Td3qilgs8BLtv8mHyT1t,Zoe Wees,Control,Control,84
47,1Cv1YLb4q0RzL6pybtaMLo,Surfaces,Sunday Best,Where the Light Is,91
48,4nK5YrxbMGZstTLbvj6Gxw,BENEE,Supalonely,STELLA & STEVE,92
49,7eJMfftS33KTjuF7lTsMCx,Powfu,death bed (coffee for your head),death bed (coffee for your head),95
50,02kDW379Yfd5PzW5A6vuGt,Internet Money,Lemonade,"Lemonade (feat. Gunna, Don Toliver & NAV)",72
51,35RJhm1pEovTBwnNR0zWad,DJ Khaled,GREECE (feat. Drake),GREECE (feat. Drake),90
52,2fZTS0VboxRpF0FdfY7E5P,Juice WRLD,Conversations,Legends Never Die,87
53,3GZd1aDsgKL71Kt3VIp0hc,NLE Choppa,Narrow Road (feat. Lil Baby),Narrow Road (feat. Lil Baby),80
54,3nS9a01VvXHQriLqJYwRqG,Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),WUNNA,86
55,2QqJTIlGKRLJC3onkavYEz,Polo G,Flex (feat. Juice WRLD),THE GOAT,86
56,4Zjdzxx0dsavsr7Ehr8fGE,iann dior,Prospect (ft. Lil Baby),Prospect (feat. Lil Baby),82
57,6nDSLDomNqfet6w0r1GHAz,Gunna,RELENTLESS (feat. Lil Uzi Vert),WUNNA (Deluxe),79
58,0PvFJmanyNQMseIFrU708S,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,91
59,76MjtLfZoTNc3BDqUVjuRH,Future,Patek,Patek,79
60,6gxKUmycQX7uyMwJcweFjp,Lil Baby,We Paid (feat. 42 Dugg),My Turn (Deluxe),87
61,25zlnOAzbVoOzIeXSvQFf1,Pop Smoke,Got It On Me,Shoot For The Stars Aim For The Moon,87
62,7v96VvFLS0wSYT8kewNLRy,Money Man,24 (feat. Lil Baby),24 (feat. Lil Baby),62
63,4Hpib09wXgD84w4uwTPnYD,Saweetie,Tap In,Tap In,84
64,3JKgcAa7r07ocVWcV8bS0H,Polo G,21,THE GOAT,86
65,5Tj4faD9lGyMw8ZatUYR6G,A Boogie Wit da Hoodie,Flood My Wrist (feat. Lil Uzi Vert),Flood My Wrist (feat. Lil Uzi Vert),78
66,7dmD4eaEb5UCBYcEJkLke9,YoungBoy Never Broke Again,Kacey Talk,Kacey Talk,67
67,2h4cmbyb6S7e8igDZIITJU,Lil Durk,3 Headed Goat (feat. Lil Baby & Polo G),Just Cause Y'all Waited 2,77
68,5EzL7hGT9g2Tvqsy158Lu9,City Girls,Pussy Talk,City On Lock,74
69,5esKpsrB3TbGHwFaAjIGMx,A$AP Ferg,Move Ya Hips (feat. Nicki Minaj & MadeinTYO),Move Ya Hips (feat. Nicki Minaj & MadeinTYO),81
70,2T5NBwKRySiCR78vVk08vr,DaBaby,BLIND (feat. Young Thug),BLAME IT ON BABY (DELUXE),79
