,0
0,00GOPLxW4PGQuUYdPJh8K1
1,00QyLmjxaSEE8qIZQjBXBj
2,00V7a8gzdZQgvulLe3MDe3
3,00ko9WaS4jOX1kEk3gvHjf
4,00qOE7OjRl0BpYiCiweZB2
5,014V6u9VubefjaPPl1QkTJ
6,015jLlgBeSkl3CApWJhlv7
7,017PF4Q3l4DBUiWoXk4OWT
8,01Q0I9mTmlvrsnlJmzXIVH
9,01T3AjynqSMVfiAQCAfrKJ
10,01vDjcEmCLMqIskxAwLGoX
11,01xhMrdCefADl7HSttJaf7
12,021lWIHJrURZrmvYQ1xcM8
13,02DurCgOvDdX0uKEjqcl3W
14,02M1cmKrLsEfkqSJnm19ov
15,02Py0dBvpAljwEdRfp1llN
16,02U4qVdEVD7T9eiPh7PPM4
17,02VOS5QRFc6i1XQVROAeDi
18,02WREPaxGAP4Mtlb4Txykd
19,02itaCXOdC54J0ISjqqFAp
20,02pf9lLM8Nb8l4u4ts1GWb
21,0332p5aiaQ6vyomilcGSy4
22,0385HqYimoTQaHZP17KwG1
23,03HyPRDdAwvkovBE6XubBC
24,03KPglpx7HItRxj8KT5uqA
25,03L2AoiRbWhvt7BDMx1jUB
26,03MG0l3WB6a9dJkXqnhGl8
27,03PCwlvQAMDx45JR3LvECo
28,03RB6sqBAJj0uulnLkyjtG
29,03VbBcRhqaoH04MMlxlGIC
30,03j354P848KtNU2FVSwkDG
31,03oindyHdbAcUi7Pig4cEv
32,03tqyYWC9Um2ZqU0ZN849H
33,047fCsbO4NdmwCBn8pcUXl
34,04CttTezSnv71USiiG9mIo
35,04MLEeAMuV9IlHEsD8vF6A
36,04VPp8rNmgrmbxxoSR36xq
37,04amRUbvDaUMmE9U4Vs48E
38,04wfNcEn5fPqJvjyPWGfZi
39,05CwHjIk71RXVU40boRMnR
40,05IyD7K9Q4lgu8W4Xfi9Lx
41,05NYcsjJwOYq4jIiKPVj9p
42,05QSh6nyG3AEBVUTrJPgIk
43,05aZ9sAU1YXndHv0FMi9iW
44,05jD96Nz4dxIQ6ov01oBZa
45,05mAIVLkIWc2d1UBYZBCp8
46,05oQCqMlB0VyTcFqo9TZSx
47,05w2atLS1gnWcjCRWWLphI
48,069VGijrAsQVSY9ihFv1Px
49,06Dw1I7Zc20StI8riCsNxY
