,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
126583,0.992,['Ignacio Corsini'],0.601,111333,0.198,0,4rTjeJa5upBPcTPWtXYcJz,8.18e-05,6,0.385,-19.337,0,Cuando Llora el Corazón - Remasterizado,0,1929-06-20,0.0777,122.35,0.8420000000000001,1929
102133,0.805,['Carole King'],0.65,186200,0.342,0,7oEIm5uvKfOeMwilOAYb32,5.54e-06,4,0.0913,-11.345,1,Beautifull,41,1968,0.0289,77.093,0.5579999999999999,1968
154722,0.973,"['Arthur Sullivan', 'Muriel Harding', 'Neville Griffith', 'Peter Pratt', ""The D'Oyly Carte Opera Chorus"", 'New Symphony Orchestra', 'Isidore Godfrey']",0.353,242307,0.0836,0,0cc1sgKtjZtMEzH1qE9tS0,1.21e-06,6,0.313,-19.784000000000002,1,The Sorcerer / Act 1: 15. Sprites of earth and air,0,1953-01-01,0.0499,89.15100000000002,0.149,1953
51395,0.322,['Bill LaBounty'],0.648,265640,0.402,0,3KH39R9cO3ZWN6hqRbTKM3,1.38e-06,3,0.0886,-14.972000000000001,1,This Night Won't Last Forever,30,1978-07-21,0.0241,102.682,0.607,1978
50704,0.309,['The Allman Brothers Band'],0.488,259444,0.721,0,7K4jh3V3fP00WKg7c6lwqA,0.0482,2,0.4370000000000001,-9.141,1,"Statesboro Blues - Live At Fillmore East, March 13, 1971",23,1971-07-01,0.0617,125.94,0.7859999999999999,1971
18956,0.7879999999999999,"['Frank Zappa', 'The Mothers Of Invention']",0.84,92787,0.5710000000000001,0,7ggLyENiWBewvpjUOfZbwp,0.0,11,0.162,-10.421,0,Take Your Clothes Off When You Dance,21,1968-05-04,0.0514,120.68,0.961,1968
107411,0.995,['Francisco Canaro'],0.845,171493,0.20600000000000002,0,4jhmqLPc7EURFaJJOXNLQP,0.359,0,0.10800000000000001,-13.171,0,Nobleza de Arrabal - Instrumental (Remasterizado),0,1927-08-16,0.266,119.71799999999999,0.645,1927
118692,0.934,"['Igor Stravinsky', 'Pierre Monteux']",0.446,270547,0.65,0,0s1W09HQcPsQBs2haHRP6j,0.8440000000000001,7,0.573,-7.49,1,"The Rite of Spring: The Sacrifice, Pt. 2: VI. Sacrificial Dance (The Chosen One)",0,1945,0.0615,130.541,0.22699999999999998,1945
32832,0.972,['Buck Clayton'],0.6459999999999999,198707,0.0924,0,7yN3aObquMAHW9jud5Ymfk,0.00761,5,0.122,-14.786,1,Basie's Morning Bluesicale,0,1946,0.0492,119.494,0.551,1946
3632,0.693,['James Taylor'],0.816,192427,0.245,0,4iGx9ApZJiLz31jKOa7icZ,0.000188,0,0.10400000000000001,-15.472000000000001,1,Gorilla - 2019 Remaster,29,1975-05-01,0.0589,114.743,0.44799999999999995,1975
89302,0.963,"['Tommy Dorsey & His Clambake Seven', 'Edythe Wright']",0.727,201800,0.14800000000000002,0,7isPzeI4WXUsRf3pRyVQOy,0.423,2,0.111,-13.564,0,After You,2,1935,0.0601,100.75,0.7090000000000001,1935
