,id,artist,title,album,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,7doJTm33FOrVlGJVybeM5T,Nick Leng,Music to Clean the House to,Music to Clean the House to,34,0.32,0.485,1,-8.125,0,0.0306,0.0614,0.54,0.181,0.155,79.769,225733,4
1,0OibLGqxfI7dBjoEDLqWD5,Camp Kona,Homesick,Homesick,37,0.752,0.234,9,-13.013,1,0.156,0.634,0.0,0.101,0.744,127.852,229102,4
2,1FuQy32K6DPowR1cBhVbS7,SADBOii,Nothing,Nothing,51,0.51,0.666,7,-7.008,1,0.0861,0.474,0.0,0.0775,0.213,179.96,208500,4
3,5aZ1ZCYA1vdDWj7HeJoiWt,FINLAY,bones,bones,41,0.673,0.641,6,-7.564,0,0.0398,0.636,6.25e-05,0.147,0.359,145.993,213809,4
4,4hisNuwSsci6D1V9QxuiwE,Pool Toys,Bad Things,Bad Things,20,0.533,0.81,6,-8.274,0,0.0485,0.203,0.00513,0.368,0.568,160.023,229537,4
5,64RnefzM0iBMHyDDzU2GbZ,ELIO,My Friends Online,My Friends Online,39,0.668,0.756,9,-3.594,1,0.0341,0.448,0.00143,0.0694,0.62,118.046,164887,4
6,3c6r6nNtFafOwLMuR2AyB5,Crisaunt,Pastel Pink,Pastel Pink,52,0.508,0.362,7,-11.605,0,0.111,0.073,0.465,0.128,0.388,157.79,198713,4
7,29ogdGp1JAeyUaPBXqSL2c,Pablo Bolivar,Kuiu,Kuiu / Infinite Rainbows,55,0.731,0.309,2,-17.596,0,0.0415,0.548,0.925,0.109,0.581,117.995,382235,4
8,3rSpygEm666f56oAQIZKJo,ZEMBU,Overgrown,Overgrown,35,0.661,0.439,4,-9.631,1,0.0394,0.721,0.00294,0.12,0.198,109.042,276944,4
9,0DEQeD26U16Ohg5klVa24l,jackson lee morgan,lone star,lone star,33,0.746,0.414,2,-8.303,1,0.0759,0.12,0.000411,0.127,0.381,116.003,145326,4
10,5sJwRlYM8Wg9vGrfe0FNTO,Frvrfriday,100 Rounds,100 Rounds,60,0.757,0.557,11,-5.167,0,0.0512,0.325,0.0,0.13,0.217,88.034,132739,4
11,3QqdwK6b3QTRIWkT9oNYb1,again&again,eighty-five,eighty-five,54,0.71,0.618,11,-8.865,0,0.0598,0.09,3.93e-05,0.141,0.797,94.995,192316,4
12,6g2jmnIFPjWPcBbsCXL3SJ,Sofía Campos,Bem Melhor,Salvar el Fuego,19,0.702,0.448,3,-10.915,0,0.0583,0.573,0.0,0.102,0.579,74.928,223106,4
13,0GOffguGbp8RViiVFaPCU2,almost monday,broken people,broken people,48,0.758,0.723,9,-3.618,0,0.0764,0.0723,0.000656,0.0747,0.589,116.016,202662,4
14,3qOf3LZEeMzPFWZmp1iYuV,Teej,BYE,1080p,45,0.688,0.711,0,-5.591,1,0.114,0.677,1.83e-06,0.371,0.496,82.936,197939,4
15,7laUZYL4UwMMcvXJrsAlz5,HERO,ROT IN PIECES,CRY BABY,16,0.611,0.5,5,-6.968,0,0.113,0.105,0.399,0.0933,0.66,76.097,154737,4
16,7cA9VvcCZXMc8I4Vl8g2MA,BOKN,LEMONS,LEMONS,31,0.727,0.63,5,-6.469,0,0.0607,0.0754,5.64e-06,0.169,0.735,155.008,174640,4
17,2in7Ju9SATBqOS4G4tCYXT,The Main Squeeze,Little Bit,Little Bit,37,0.808,0.752,4,-4.513,0,0.0802,0.0906,1.68e-06,0.387,0.565,104.043,174560,4
18,2qPtoXKZFeXPEMKt8yTwa4,Ben Chandler,Out of My Head,Ben Chandler,23,0.65,0.818,4,-3.499,1,0.0498,0.101,0.0,0.11,0.809,137.981,135652,4
19,6iebkAYKqzXj5ARqSWgTW8,Phil Anker,Fly,Fly,34,0.765,0.657,5,-8.243,0,0.0322,0.00128,0.166,0.104,0.394,125.01,278000,4
20,0VwiYcDRxujk32WEkQeCfX,Huck,B Free,B Free,30,0.635,0.616,1,-12.422,0,0.219,0.263,0.0,0.69,0.366,95.977,220000,4
21,6KhT7CK6FL0BnI3nVPqv4F,Hojean,Over 85,Over 85,45,0.644,0.522,0,-8.197,0,0.0273,0.0824,0.0,0.122,0.477,99.999,204014,4
22,5Vth7eImumlAyhsW8PqqAM,Bickle,Naked,Naked,53,0.815,0.497,1,-9.65,1,0.0547,0.000104,0.0219,0.071,0.472,126.046,210005,4
