,0
0,7doJTm33FOrVlGJVybeM5T
1,0OibLGqxfI7dBjoEDLqWD5
2,1FuQy32K6DPowR1cBhVbS7
3,5aZ1ZCYA1vdDWj7HeJoiWt
4,4hisNuwSsci6D1V9QxuiwE
5,64RnefzM0iBMHyDDzU2GbZ
6,3c6r6nNtFafOwLMuR2AyB5
7,29ogdGp1JAeyUaPBXqSL2c
8,3rSpygEm666f56oAQIZKJo
9,0DEQeD26U16Ohg5klVa24l
10,5sJwRlYM8Wg9vGrfe0FNTO
11,3QqdwK6b3QTRIWkT9oNYb1
12,6g2jmnIFPjWPcBbsCXL3SJ
13,0GOffguGbp8RViiVFaPCU2
14,3qOf3LZEeMzPFWZmp1iYuV
15,7laUZYL4UwMMcvXJrsAlz5
16,7cA9VvcCZXMc8I4Vl8g2MA
17,2in7Ju9SATBqOS4G4tCYXT
18,2qPtoXKZFeXPEMKt8yTwa4
19,6iebkAYKqzXj5ARqSWgTW8
20,0VwiYcDRxujk32WEkQeCfX
21,6KhT7CK6FL0BnI3nVPqv4F
22,5Vth7eImumlAyhsW8PqqAM
23,3KzDBZYfyIPYadSYwrQkPL
24,5PtGchZh3CKBpY9CSUfY3C
25,3I3ZmlSouhOYDHGWn3w0CW
26,4cA2ykOLeV0102AZkiGT4M
27,4PlzJVdaRYC9Fg2AqlOxer
28,46VVqPB050Euv6hIxeV45l
29,6KdFaEpGRjpB60DkCJlOh4
30,0f11SeNBfLiQPaOmPOCpNx
31,5B7K0zs5gkaueWXzgd0vk7
32,57C9GA4a2d3keREnEbMtZs
33,2jr9zjYBU2mAgnwU78gzxf
34,0t52rXOiyAKx1ZoacxuB4B
35,4d83gRvk3DHU5cWBbyOlSk
36,04cZibf4B5Uj7MP2OuAjL3
37,2rkU8YCfozcUOUJS2VwXZ9
38,5YEt6KT2JuTI62ehTcgWTS
39,1JAEWJdVG3qweQL0iAKWn6
40,4TzrgblNGzBjwqB8VGTVCV
41,2kq3efm5Rtl2DsAg1hAtpq
42,6QWz6ZtKAqp6Aqh0QIG6K6
43,3y3U17xvpPTELukV8noYCb
44,03ZQhvP0UXQvUhGxlGqOSq
45,4318wsqF8m3DbfF65xnkNB
46,3oEzAvTdFE9fxBI9FvcsPh
47,7hGNnw9wlyXZ7rM16Bo4hD
48,25gKiqJHujPWEbtPtit2gG
49,1nV5gbrDdxfua6ICkCVTgY
50,4mH0YkiHRu0LF5hvx86ME9
51,1bfL3v2vNhwRoeZdDZ8ZBF
52,5go87H9X27NrRuJvJbsJ7W
53,2mxCdfbjsfSEMbUfkNkOUq
54,1nF64mhIeEPcnQjG39kgf4
55,5K4R9el3fz8dAiVpvChgfD
56,6zcvgbAkIulAAB31lLjgKx
57,0gM1eDd2iymRIcSy4sF0CI
58,6lSYPt65pFv6ed4r3GYZAs
59,2OniwRnM4rjRGFEDGsoJWP
60,7G1z481K0xAULT3eVaaNQD
61,7pNElRT6iy5GVyGnhaJysz
62,6DXRUAHQTwJuCXuhXyRU53
63,0VNtKhOQZConLZc1GjQckk
64,1PFIHtyj9US4ZIRkH34hxU
65,0w69QFnWIwTCwEzI1lxkTC
66,1GD9bAjq18NIhWNVEyNL7K
67,0ZEbNzdEpQBFBu1zlltJ2Q
68,6hm00tFoul38Zmz8zM5unQ
69,2DI2BdfibpQWLCFVLLrEIW
70,33VCIFyphsTdo4DBDKkrhy
71,77QrmJAISNg6ZRGikScJlC
72,3SsgWnea06WdgZHu6rhOhU
73,2wB18h8T6qglbWcU4KJQxZ
74,4sT9knZS0gvM3CNOGwUQgT
75,2Tl52E14WnNgjBk258km2t
76,2V3aBTKWMnEkjzABx6Sj80
77,081ySMgn2BbxK2cScqCA8M
78,2yuM3iVvrDQ5g0in42E6Un
79,4RIu43eVxjbWuUhNwTUxwb
80,6TZe9eIEgoAWAhHk9Vke4Y
81,2CMIGVLAz6NfD9fdfdhbBp
