,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.32,0.485,1,-8.125,0,0.0306,0.0614,0.54,0.181,0.155,79.769,audio_features,7doJTm33FOrVlGJVybeM5T,spotify:track:7doJTm33FOrVlGJVybeM5T,https://api.spotify.com/v1/tracks/7doJTm33FOrVlGJVybeM5T,https://api.spotify.com/v1/audio-analysis/7doJTm33FOrVlGJVybeM5T,225733,4
1,0.752,0.234,9,-13.013,1,0.156,0.634,0.0,0.101,0.744,127.852,audio_features,0OibLGqxfI7dBjoEDLqWD5,spotify:track:0OibLGqxfI7dBjoEDLqWD5,https://api.spotify.com/v1/tracks/0OibLGqxfI7dBjoEDLqWD5,https://api.spotify.com/v1/audio-analysis/0OibLGqxfI7dBjoEDLqWD5,229102,4
2,0.51,0.666,7,-7.008,1,0.0861,0.474,0.0,0.0775,0.213,179.96,audio_features,1FuQy32K6DPowR1cBhVbS7,spotify:track:1FuQy32K6DPowR1cBhVbS7,https://api.spotify.com/v1/tracks/1FuQy32K6DPowR1cBhVbS7,https://api.spotify.com/v1/audio-analysis/1FuQy32K6DPowR1cBhVbS7,208500,4
3,0.673,0.641,6,-7.564,0,0.0398,0.636,6.25e-05,0.147,0.359,145.993,audio_features,5aZ1ZCYA1vdDWj7HeJoiWt,spotify:track:5aZ1ZCYA1vdDWj7HeJoiWt,https://api.spotify.com/v1/tracks/5aZ1ZCYA1vdDWj7HeJoiWt,https://api.spotify.com/v1/audio-analysis/5aZ1ZCYA1vdDWj7HeJoiWt,213809,4
4,0.533,0.81,6,-8.274,0,0.0485,0.203,0.00513,0.368,0.568,160.023,audio_features,4hisNuwSsci6D1V9QxuiwE,spotify:track:4hisNuwSsci6D1V9QxuiwE,https://api.spotify.com/v1/tracks/4hisNuwSsci6D1V9QxuiwE,https://api.spotify.com/v1/audio-analysis/4hisNuwSsci6D1V9QxuiwE,229537,4
5,0.668,0.756,9,-3.594,1,0.0341,0.448,0.00143,0.0694,0.62,118.046,audio_features,64RnefzM0iBMHyDDzU2GbZ,spotify:track:64RnefzM0iBMHyDDzU2GbZ,https://api.spotify.com/v1/tracks/64RnefzM0iBMHyDDzU2GbZ,https://api.spotify.com/v1/audio-analysis/64RnefzM0iBMHyDDzU2GbZ,164887,4
6,0.508,0.362,7,-11.605,0,0.111,0.073,0.465,0.128,0.388,157.79,audio_features,3c6r6nNtFafOwLMuR2AyB5,spotify:track:3c6r6nNtFafOwLMuR2AyB5,https://api.spotify.com/v1/tracks/3c6r6nNtFafOwLMuR2AyB5,https://api.spotify.com/v1/audio-analysis/3c6r6nNtFafOwLMuR2AyB5,198713,4
7,0.731,0.309,2,-17.596,0,0.0415,0.548,0.925,0.109,0.581,117.995,audio_features,29ogdGp1JAeyUaPBXqSL2c,spotify:track:29ogdGp1JAeyUaPBXqSL2c,https://api.spotify.com/v1/tracks/29ogdGp1JAeyUaPBXqSL2c,https://api.spotify.com/v1/audio-analysis/29ogdGp1JAeyUaPBXqSL2c,382235,4
8,0.661,0.439,4,-9.631,1,0.0394,0.721,0.00294,0.12,0.198,109.042,audio_features,3rSpygEm666f56oAQIZKJo,spotify:track:3rSpygEm666f56oAQIZKJo,https://api.spotify.com/v1/tracks/3rSpygEm666f56oAQIZKJo,https://api.spotify.com/v1/audio-analysis/3rSpygEm666f56oAQIZKJo,276944,4
9,0.746,0.414,2,-8.303,1,0.0759,0.12,0.000411,0.127,0.381,116.003,audio_features,0DEQeD26U16Ohg5klVa24l,spotify:track:0DEQeD26U16Ohg5klVa24l,https://api.spotify.com/v1/tracks/0DEQeD26U16Ohg5klVa24l,https://api.spotify.com/v1/audio-analysis/0DEQeD26U16Ohg5klVa24l,145326,4
10,0.757,0.557,11,-5.167,0,0.0512,0.325,0.0,0.13,0.217,88.034,audio_features,5sJwRlYM8Wg9vGrfe0FNTO,spotify:track:5sJwRlYM8Wg9vGrfe0FNTO,https://api.spotify.com/v1/tracks/5sJwRlYM8Wg9vGrfe0FNTO,https://api.spotify.com/v1/audio-analysis/5sJwRlYM8Wg9vGrfe0FNTO,132739,4
11,0.71,0.618,11,-8.865,0,0.0598,0.09,3.93e-05,0.141,0.797,94.995,audio_features,3QqdwK6b3QTRIWkT9oNYb1,spotify:track:3QqdwK6b3QTRIWkT9oNYb1,https://api.spotify.com/v1/tracks/3QqdwK6b3QTRIWkT9oNYb1,https://api.spotify.com/v1/audio-analysis/3QqdwK6b3QTRIWkT9oNYb1,192316,4
12,0.702,0.448,3,-10.915,0,0.0583,0.573,0.0,0.102,0.579,74.928,audio_features,6g2jmnIFPjWPcBbsCXL3SJ,spotify:track:6g2jmnIFPjWPcBbsCXL3SJ,https://api.spotify.com/v1/tracks/6g2jmnIFPjWPcBbsCXL3SJ,https://api.spotify.com/v1/audio-analysis/6g2jmnIFPjWPcBbsCXL3SJ,223106,4
13,0.758,0.723,9,-3.618,0,0.0764,0.0723,0.000656,0.0747,0.589,116.016,audio_features,0GOffguGbp8RViiVFaPCU2,spotify:track:0GOffguGbp8RViiVFaPCU2,https://api.spotify.com/v1/tracks/0GOffguGbp8RViiVFaPCU2,https://api.spotify.com/v1/audio-analysis/0GOffguGbp8RViiVFaPCU2,202662,4
14,0.688,0.711,0,-5.591,1,0.114,0.677,1.83e-06,0.371,0.496,82.936,audio_features,3qOf3LZEeMzPFWZmp1iYuV,spotify:track:3qOf3LZEeMzPFWZmp1iYuV,https://api.spotify.com/v1/tracks/3qOf3LZEeMzPFWZmp1iYuV,https://api.spotify.com/v1/audio-analysis/3qOf3LZEeMzPFWZmp1iYuV,197939,4
15,0.611,0.5,5,-6.968,0,0.113,0.105,0.399,0.0933,0.66,76.097,audio_features,7laUZYL4UwMMcvXJrsAlz5,spotify:track:7laUZYL4UwMMcvXJrsAlz5,https://api.spotify.com/v1/tracks/7laUZYL4UwMMcvXJrsAlz5,https://api.spotify.com/v1/audio-analysis/7laUZYL4UwMMcvXJrsAlz5,154737,4
