,id,artist,title,album,popularity
0,7doJTm33FOrVlGJVybeM5T,Nick Leng,Music to Clean the House to,Music to Clean the House to,34
1,0OibLGqxfI7dBjoEDLqWD5,Camp Kona,Homesick,Homesick,37
2,1FuQy32K6DPowR1cBhVbS7,SADBOii,Nothing,Nothing,51
3,5aZ1ZCYA1vdDWj7HeJoiWt,FINLAY,bones,bones,41
4,4hisNuwSsci6D1V9QxuiwE,Pool Toys,Bad Things,Bad Things,20
5,64RnefzM0iBMHyDDzU2GbZ,ELIO,My Friends Online,My Friends Online,39
6,3c6r6nNtFafOwLMuR2AyB5,Crisaunt,Pastel Pink,Pastel Pink,52
7,29ogdGp1JAeyUaPBXqSL2c,Pablo Bolivar,Kuiu,Kuiu / Infinite Rainbows,55
8,3rSpygEm666f56oAQIZKJo,ZEMBU,Overgrown,Overgrown,35
9,0DEQeD26U16Ohg5klVa24l,jackson lee morgan,lone star,lone star,33
10,5sJwRlYM8Wg9vGrfe0FNTO,Frvrfriday,100 Rounds,100 Rounds,60
11,3QqdwK6b3QTRIWkT9oNYb1,again&again,eighty-five,eighty-five,54
12,6g2jmnIFPjWPcBbsCXL3SJ,Sofía Campos,Bem Melhor,Salvar el Fuego,19
13,0GOffguGbp8RViiVFaPCU2,almost monday,broken people,broken people,48
14,3qOf3LZEeMzPFWZmp1iYuV,Teej,BYE,1080p,45
15,7laUZYL4UwMMcvXJrsAlz5,HERO,ROT IN PIECES,CRY BABY,16
16,7cA9VvcCZXMc8I4Vl8g2MA,BOKN,LEMONS,LEMONS,31
17,2in7Ju9SATBqOS4G4tCYXT,The Main Squeeze,Little Bit,Little Bit,37
18,2qPtoXKZFeXPEMKt8yTwa4,Ben Chandler,Out of My Head,Ben Chandler,23
19,6iebkAYKqzXj5ARqSWgTW8,Phil Anker,Fly,Fly,34
20,0VwiYcDRxujk32WEkQeCfX,Huck,B Free,B Free,30
21,6KhT7CK6FL0BnI3nVPqv4F,Hojean,Over 85,Over 85,45
22,5Vth7eImumlAyhsW8PqqAM,Bickle,Naked,Naked,53
23,3KzDBZYfyIPYadSYwrQkPL,spill tab,Calvaire,Calvaire,49
24,5PtGchZh3CKBpY9CSUfY3C,brakence,fwb,fwb,46
25,3I3ZmlSouhOYDHGWn3w0CW,Kamal.,homebody,homebody,58
26,4cA2ykOLeV0102AZkiGT4M,Honeywhip,So Obvious,So Obvious,24
27,4PlzJVdaRYC9Fg2AqlOxer,53 Thieves,dreamin',dreamin',60
28,46VVqPB050Euv6hIxeV45l,ella jane,The City,The City,52
29,6KdFaEpGRjpB60DkCJlOh4,Billy Vena,Space Hippie,Space Hippie,37
30,0f11SeNBfLiQPaOmPOCpNx,Martha Da'ro,Fool,Fool,33
31,5B7K0zs5gkaueWXzgd0vk7,suggi,astroboy.,cheer up!,61
32,57C9GA4a2d3keREnEbMtZs,Easton,Patterns In The Sky,Patterns In The Sky,27
33,2jr9zjYBU2mAgnwU78gzxf,No Panties,Lost My Phone,Lost My Phone,10
34,0t52rXOiyAKx1ZoacxuB4B,mehro,perfume,perfume,58
35,4d83gRvk3DHU5cWBbyOlSk,dhruv,moonlight,moonlight,60
36,04cZibf4B5Uj7MP2OuAjL3,Stereo Jane,Strangers,Strangers,45
37,2rkU8YCfozcUOUJS2VwXZ9,Yes Please,Half Nelson,Half Nelson,39
38,5YEt6KT2JuTI62ehTcgWTS,Jordana,Crunch,Crunch,29
39,1JAEWJdVG3qweQL0iAKWn6,April,The Impossible Task of Feeling Complete,The Impossible Task of Feeling Complete,20
40,4TzrgblNGzBjwqB8VGTVCV,David Alexander,Head on My Shoulder,Head on My Shoulder,47
41,2kq3efm5Rtl2DsAg1hAtpq,MT. LOW,Fade (Into View),Fade (Into View),20
42,6QWz6ZtKAqp6Aqh0QIG6K6,Jockstrap,Acid,Acid,43
43,3y3U17xvpPTELukV8noYCb,Garde,Alone,Alone,22
44,03ZQhvP0UXQvUhGxlGqOSq,Emily Keener,Do You Love Me Lately?,Do You Love Me Lately?,48
45,4318wsqF8m3DbfF65xnkNB,bloody white,tongue tied,tongue tied,41
46,3oEzAvTdFE9fxBI9FvcsPh,Bri Tolani,Hazy,Hazy,36
47,7hGNnw9wlyXZ7rM16Bo4hD,Tara,Floating,Floating,25
48,25gKiqJHujPWEbtPtit2gG,Dead Emerson,Cold Summer,Cold Summer,43
49,1nV5gbrDdxfua6ICkCVTgY,Alaina Castillo,papacito,antisocial butterfly,57
50,4mH0YkiHRu0LF5hvx86ME9,Beau Diako,Flamingo,Flutter,42
51,1bfL3v2vNhwRoeZdDZ8ZBF,Love Mansuy,Count On You,Of Age,37
52,5go87H9X27NrRuJvJbsJ7W,tii adica,The Prestige,The Prestige,21
53,2mxCdfbjsfSEMbUfkNkOUq,Kinda Moderate,Like Ooo,Like Ooo,33
54,1nF64mhIeEPcnQjG39kgf4,Alaina Castillo,no importa,antisocial butterfly,53
55,5K4R9el3fz8dAiVpvChgfD,Alex France,Timeout,Timeout,27
