,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.71,0.47,1,-9.33,0,0.142,0.154,0.0,0.643,0.581,80.027,audio_features,00GOPLxW4PGQuUYdPJh8K1,spotify:track:00GOPLxW4PGQuUYdPJh8K1,https://api.spotify.com/v1/tracks/00GOPLxW4PGQuUYdPJh8K1,https://api.spotify.com/v1/audio-analysis/00GOPLxW4PGQuUYdPJh8K1,180675,4
1,0.554,0.899,8,-4.573,1,0.408,0.0521,0.0,0.0568,0.552,171.966,audio_features,00QyLmjxaSEE8qIZQjBXBj,spotify:track:00QyLmjxaSEE8qIZQjBXBj,https://api.spotify.com/v1/tracks/00QyLmjxaSEE8qIZQjBXBj,https://api.spotify.com/v1/audio-analysis/00QyLmjxaSEE8qIZQjBXBj,227893,4
2,0.65,0.893,11,-3.34,0,0.0426,0.013,0.00384,0.0898,0.246,115.005,audio_features,00V7a8gzdZQgvulLe3MDe3,spotify:track:00V7a8gzdZQgvulLe3MDe3,https://api.spotify.com/v1/tracks/00V7a8gzdZQgvulLe3MDe3,https://api.spotify.com/v1/audio-analysis/00V7a8gzdZQgvulLe3MDe3,259773,4
3,0.899,0.509,9,-8.04,1,0.387,0.00157,0.0,0.0573,0.599,150.001,audio_features,00ko9WaS4jOX1kEk3gvHjf,spotify:track:00ko9WaS4jOX1kEk3gvHjf,https://api.spotify.com/v1/tracks/00ko9WaS4jOX1kEk3gvHjf,https://api.spotify.com/v1/audio-analysis/00ko9WaS4jOX1kEk3gvHjf,225924,4
4,0.357,0.653,9,-5.554,1,0.0654,0.0828,0.0,0.0844,0.522,176.647,audio_features,00qOE7OjRl0BpYiCiweZB2,spotify:track:00qOE7OjRl0BpYiCiweZB2,https://api.spotify.com/v1/tracks/00qOE7OjRl0BpYiCiweZB2,https://api.spotify.com/v1/audio-analysis/00qOE7OjRl0BpYiCiweZB2,259800,4
5,0.64,0.841,1,-2.426,0,0.0466,0.153,0.0,0.0457,0.0471,121.075,audio_features,014V6u9VubefjaPPl1QkTJ,spotify:track:014V6u9VubefjaPPl1QkTJ,https://api.spotify.com/v1/tracks/014V6u9VubefjaPPl1QkTJ,https://api.spotify.com/v1/audio-analysis/014V6u9VubefjaPPl1QkTJ,282546,4
6,0.866,0.51,10,-6.254,1,0.256,0.0146,0.0,0.107,0.171,106.949,audio_features,015jLlgBeSkl3CApWJhlv7,spotify:track:015jLlgBeSkl3CApWJhlv7,https://api.spotify.com/v1/tracks/015jLlgBeSkl3CApWJhlv7,https://api.spotify.com/v1/audio-analysis/015jLlgBeSkl3CApWJhlv7,234640,4
7,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,audio_features,017PF4Q3l4DBUiWoXk4OWT,spotify:track:017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/tracks/017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/audio-analysis/017PF4Q3l4DBUiWoXk4OWT,221820,4
8,0.767,0.688,1,-7.123,0,0.0955,0.00134,0.012,0.141,0.839,123.996,audio_features,01Q0I9mTmlvrsnlJmzXIVH,spotify:track:01Q0I9mTmlvrsnlJmzXIVH,https://api.spotify.com/v1/tracks/01Q0I9mTmlvrsnlJmzXIVH,https://api.spotify.com/v1/audio-analysis/01Q0I9mTmlvrsnlJmzXIVH,210968,4
9,0.322,0.0121,5,-31.994,1,0.0491,0.993,0.927,0.127,0.118,112.464,audio_features,01T3AjynqSMVfiAQCAfrKJ,spotify:track:01T3AjynqSMVfiAQCAfrKJ,https://api.spotify.com/v1/tracks/01T3AjynqSMVfiAQCAfrKJ,https://api.spotify.com/v1/audio-analysis/01T3AjynqSMVfiAQCAfrKJ,160897,4
