,0
0,4Oun2ylbjFKMPTiaSbbCih
1,2SAqBLGA283SUiwJ3xOUVI
2,3H7ihDc1dqLriiWXwsc2po
3,6UelLqGlWMcVH1E5c4H7lY
4,7ytR5pFWmSjzHJIeQkgog4
5,6wQlQrTY5mVS8EGaFZVwVF
6,5T490vvoFNU6psep0NPmxs
7,4wosxLl0mAqhneDzya2MfY
8,0EhpEsp4L0oRGM0vmeaN5e
9,27ycaQnQAxaPiyeg3nr2aB
10,1IIKrJVP1C9N7iPtG6eOsK
11,6o3QUC5oAE4g6WxRIFcZtb
12,2ygvZOXrIeVL4xZmAWJT2C
13,1raaNykBg1bDnWENUiglUA
14,24Yi9hE78yPEbZ4kxyoXAI
15,3kwgqoBqTwoAH4nT29TYrq
16,5f1joOtoMeyppIcJGZQvqJ
17,7y7w4tl4MaRC2UMEj1mPtr
18,70rFIfYN7lU6iTgUIVP42w
19,2MbdDtCv5LUVjYy9RuGTgC
20,3Z8FwOEN59mRMxDCtb8N0A
21,2KoHxhRyWxJzA0VafWd5Nk
22,1H7KnK26kc1YyellpbINEn
23,2LUdpPCiiza6UQugipjMeS
24,76nqCfJOcFFWBJN32PAksn
25,4R2kfaDFhslZEMJqAFNpdd
26,4HBZA5flZLE435QTztThqH
27,45bE4HXI0AwGZXfZtMp8JR
28,3tjFYV6RSFtuktYl3ZtYcq
29,5RqR4ZCCKJDcBLIn4sih9l
30,59qrUpoplZxbIZxk6X0Bm3
31,4pvb0WLRcMtbPGmtejJJ6y
32,66W1rVTnEv86dIkFhoiElg
33,14wf185UxfNbSy8dwt4r4q
34,0sf12qNH5qcw8qpgymFOqD
35,5rZlwNFl01HqLWBQGryKSm
36,7C1trmcQQ5n5RNy4l6ziCv
37,4xqrdfXkTW4T0RauPLv3WA
38,364dI1bYnvamSnBJ8JcNzN
39,6EDO9iiTtwNv6waLwa1UUq
40,6AzKhCHOms83jvNVLsz0Bt
41,7xbWAw3LMgRMn4omR5yVn3
42,4ja2gzrNh9VNigzoXfmbwD
43,0qJeyYAgv6UpvewUxRXAhb
44,24ySl2hOPGCDcxBxFIqWBu
45,62aP9fBQKYKxi7PDXwcUAS
46,50Td3qilgs8BLtv8mHyT1t
47,1Cv1YLb4q0RzL6pybtaMLo
48,4nK5YrxbMGZstTLbvj6Gxw
49,7eJMfftS33KTjuF7lTsMCx
50,2SAqBLGA283SUiwJ3xOUVI
51,0qJeyYAgv6UpvewUxRXAhb
52,02kDW379Yfd5PzW5A6vuGt
53,35RJhm1pEovTBwnNR0zWad
54,2MbdDtCv5LUVjYy9RuGTgC
55,4Oun2ylbjFKMPTiaSbbCih
56,2fZTS0VboxRpF0FdfY7E5P
57,3GZd1aDsgKL71Kt3VIp0hc
58,1H7KnK26kc1YyellpbINEn
59,3nS9a01VvXHQriLqJYwRqG
60,2QqJTIlGKRLJC3onkavYEz
61,4Zjdzxx0dsavsr7Ehr8fGE
62,6nDSLDomNqfet6w0r1GHAz
63,0PvFJmanyNQMseIFrU708S
64,76MjtLfZoTNc3BDqUVjuRH
65,6gxKUmycQX7uyMwJcweFjp
66,25zlnOAzbVoOzIeXSvQFf1
67,6EDO9iiTtwNv6waLwa1UUq
68,7v96VvFLS0wSYT8kewNLRy
69,4Hpib09wXgD84w4uwTPnYD
70,6wQlQrTY5mVS8EGaFZVwVF
71,7ytR5pFWmSjzHJIeQkgog4
72,3JKgcAa7r07ocVWcV8bS0H
73,5Tj4faD9lGyMw8ZatUYR6G
74,7dmD4eaEb5UCBYcEJkLke9
75,2h4cmbyb6S7e8igDZIITJU
