,id,artist,title,album,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,00GOPLxW4PGQuUYdPJh8K1,Childish Gambino,IV. Sweatpants,Because the Internet,71,0.71,0.47,1,-9.33,0,0.142,0.154,0.0,0.643,0.581,80.027,180675,4
1,00QyLmjxaSEE8qIZQjBXBj,2 Chainz,We Own It (Fast & Furious),Fast & Furious 6,62,0.5539999999999999,0.899,8,-4.573,1,0.408,0.0521,0.0,0.0568,0.552,171.96599999999998,227893,4
2,00V7a8gzdZQgvulLe3MDe3,Elliphant,To The End,To The End,0,0.65,0.893,11,-3.34,0,0.0426,0.013000000000000001,0.0038399999999999997,0.0898,0.24600000000000002,115.005,259773,4
3,00ko9WaS4jOX1kEk3gvHjf,Chance the Rapper,Hot Shower,The Big Day,74,0.899,0.509,9,-8.04,1,0.387,0.00157,0.0,0.0573,0.599,150.001,225924,4
4,00qOE7OjRl0BpYiCiweZB2,Foreigner,Juke Box Hero,4 (Expanded),68,0.35700000000000004,0.653,9,-5.553999999999999,1,0.0654,0.0828,0.0,0.0844,0.522,176.64700000000002,259800,4
5,014V6u9VubefjaPPl1QkTJ,Eminem,Phenomenal,Southpaw (Music From And Inspired By The Motion Picture),0,0.64,0.841,1,-2.426,0,0.0466,0.153,0.0,0.0457,0.0471,121.075,282546,4
6,015jLlgBeSkl3CApWJhlv7,Boogie,Rainy Days (feat. Eminem),Everythings For Sale,60,0.866,0.51,10,-6.254,1,0.256,0.0146,0.0,0.107,0.171,106.949,234640,4
7,017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,Future Nostalgia,89,0.73,0.7290000000000001,4,-3.4339999999999997,0,0.0883,0.16699999999999998,1.39e-06,0.349,0.467,113.01299999999999,221820,4
8,01Q0I9mTmlvrsnlJmzXIVH,Jax Jones,Tequila - Jax Jones & Martin Solveig Present Europa,Tequila,47,0.767,0.688,1,-7.122999999999999,0,0.0955,0.00134,0.012,0.141,0.8390000000000001,123.99600000000001,210968,4
9,01T3AjynqSMVfiAQCAfrKJ,Józef Gatysik,Evolutionistically Yours,Evolutionistically Yours,61,0.322,0.0121,5,-31.994,1,0.0491,0.993,0.927,0.127,0.11800000000000001,112.464,160897,4
10,01vDjcEmCLMqIskxAwLGoX,Nadia Gattas,Dance All Night,Dance All Night,16,0.7709999999999999,0.8320000000000001,9,-3.588,0,0.0427,0.0232,0.00824,0.136,0.777,125.02600000000001,188280,4
11,01xhMrdCefADl7HSttJaf7,Eminem,Infinite,Infinite,56,0.637,0.862,10,-4.343,0,0.191,0.293,0.0,0.217,0.573,82.01899999999999,251707,4
12,021lWIHJrURZrmvYQ1xcM8,Future,All Bad (feat. Lil Uzi Vert),High Off Life,72,0.9309999999999999,0.667,6,-7.042999999999999,0,0.318,0.0144,0.0,0.15,0.667,142.039,207739,4
13,02DurCgOvDdX0uKEjqcl3W,The Who,Who Are You,Who Are You,0,0.653,0.631,9,-11.334000000000001,1,0.0461,0.299,0.00265,0.0627,0.516,156.32,381627,4
14,02M1cmKrLsEfkqSJnm19ov,Johnning,Someone New - Olwik Remix,Someone New (OLWIK Remix),49,0.6609999999999999,0.8190000000000001,10,-8.44,0,0.0394,0.0017699999999999999,0.0103,0.316,0.192,125.986,221663,4
15,02Py0dBvpAljwEdRfp1llN,Professor Green,I Need You Tonight,Alive Till I'm Dead,50,0.672,0.893,8,-5.1080000000000005,1,0.0478,0.03,0.00028700000000000004,0.26899999999999996,0.7659999999999999,112.507,225107,4
16,02U4qVdEVD7T9eiPh7PPM4,Dastic,Let Me Love You - Joe Stone Remix,Let Me Love You (Joe Stone Remix),47,0.7340000000000001,0.652,10,-7.664,1,0.0505,0.455,0.0,0.1,0.742,122.04299999999999,168197,4
17,02VOS5QRFc6i1XQVROAeDi,Elina,Here With Me,Here With Me,58,0.433,0.267,7,-10.419,1,0.0469,0.6809999999999999,0.0,0.0811,0.255,93.072,196365,4
18,02WREPaxGAP4Mtlb4Txykd,Mura Masa,Live Like We're Dancing,Live Like We're Dancing,2,0.769,0.7659999999999999,2,-5.697,1,0.0307,0.0899,0.483,0.0868,0.435,120.023,249933,4
19,02itaCXOdC54J0ISjqqFAp,R3HAB,All Around The World (La La La),All Around The World (La La La),80,0.733,0.8590000000000001,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,147840,4
20,02pf9lLM8Nb8l4u4ts1GWb,YG,My Nigga,My Krazy Life (Deluxe),68,0.6729999999999999,0.46399999999999997,10,-6.864,0,0.201,0.0933,0.0,0.21,0.762,171.043,235600,4
21,0332p5aiaQ6vyomilcGSy4,2 Chainz,Yuck!,Based On A T.R.U. Story (Deluxe),41,0.638,0.885,11,-4.353,0,0.259,0.6659999999999999,9.89e-05,0.155,0.436,149.929,287573,4
22,0385HqYimoTQaHZP17KwG1,Calvin Harris,We Found Love (feat. Rihanna),18 Months,0,0.738,0.7759999999999999,1,-4.808,1,0.0392,0.0234,0.0018,0.0775,0.608,127.984,215520,4
23,03HyPRDdAwvkovBE6XubBC,Five Finger Death Punch,Sham Pain,Sham Pain,45,0.5539999999999999,0.938,11,-4.901,0,0.0532,0.000176,2.8999999999999998e-06,0.147,0.4,96.5,209703,4
24,03KPglpx7HItRxj8KT5uqA,MOTi,Say! Say!,Say! Say!,52,0.721,0.804,2,-5.0089999999999995,1,0.0396,0.204,0.00022200000000000003,0.35,0.787,125.03299999999999,147840,4
25,03L2AoiRbWhvt7BDMx1jUB,Drake,U With Me?,Views,60,0.429,0.43,2,-11.373,1,0.165,0.33799999999999997,1.18e-05,0.138,0.125,174.983,297373,4
26,03MG0l3WB6a9dJkXqnhGl8,Jake Cooper,Bonnie & Clyde,Bonnie & Clyde,53,0.73,0.648,5,-5.867000000000001,1,0.111,0.48700000000000004,3.1e-05,0.0843,0.493,100.156,180296,4
