,id,artist,title,album,popularity
0,00GOPLxW4PGQuUYdPJh8K1,Childish Gambino,IV. Sweatpants,Because the Internet,71
1,00QyLmjxaSEE8qIZQjBXBj,2 Chainz,We Own It (Fast & Furious),Fast & Furious 6,62
2,00V7a8gzdZQgvulLe3MDe3,Elliphant,To The End,To The End,0
3,00ko9WaS4jOX1kEk3gvHjf,Chance the Rapper,Hot Shower,The Big Day,74
4,00qOE7OjRl0BpYiCiweZB2,Foreigner,Juke Box Hero,4 (Expanded),68
5,014V6u9VubefjaPPl1QkTJ,Eminem,Phenomenal,Southpaw (Music From And Inspired By The Motion Picture),0
6,015jLlgBeSkl3CApWJhlv7,Boogie,Rainy Days (feat. Eminem),Everythings For Sale,60
7,017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,Future Nostalgia,89
8,01Q0I9mTmlvrsnlJmzXIVH,Jax Jones,Tequila - Jax Jones & Martin Solveig Present Europa,Tequila,47
9,01T3AjynqSMVfiAQCAfrKJ,Józef Gatysik,Evolutionistically Yours,Evolutionistically Yours,61
10,01vDjcEmCLMqIskxAwLGoX,Nadia Gattas,Dance All Night,Dance All Night,16
11,01xhMrdCefADl7HSttJaf7,Eminem,Infinite,Infinite,56
12,021lWIHJrURZrmvYQ1xcM8,Future,All Bad (feat. Lil Uzi Vert),High Off Life,72
13,02DurCgOvDdX0uKEjqcl3W,The Who,Who Are You,Who Are You,0
14,02M1cmKrLsEfkqSJnm19ov,Johnning,Someone New - Olwik Remix,Someone New (OLWIK Remix),49
15,02Py0dBvpAljwEdRfp1llN,Professor Green,I Need You Tonight,Alive Till I'm Dead,50
16,02U4qVdEVD7T9eiPh7PPM4,Dastic,Let Me Love You - Joe Stone Remix,Let Me Love You (Joe Stone Remix),47
17,02VOS5QRFc6i1XQVROAeDi,Elina,Here With Me,Here With Me,58
18,02WREPaxGAP4Mtlb4Txykd,Mura Masa,Live Like We're Dancing,Live Like We're Dancing,2
19,02itaCXOdC54J0ISjqqFAp,R3HAB,All Around The World (La La La),All Around The World (La La La),80
20,02pf9lLM8Nb8l4u4ts1GWb,YG,My Nigga,My Krazy Life (Deluxe),68
21,0332p5aiaQ6vyomilcGSy4,2 Chainz,Yuck!,Based On A T.R.U. Story (Deluxe),41
22,0385HqYimoTQaHZP17KwG1,Calvin Harris,We Found Love (feat. Rihanna),18 Months,0
23,03HyPRDdAwvkovBE6XubBC,Five Finger Death Punch,Sham Pain,Sham Pain,45
24,03KPglpx7HItRxj8KT5uqA,MOTi,Say! Say!,Say! Say!,52
25,03L2AoiRbWhvt7BDMx1jUB,Drake,U With Me?,Views,60
26,03MG0l3WB6a9dJkXqnhGl8,Jake Cooper,Bonnie & Clyde,Bonnie & Clyde,53
27,03PCwlvQAMDx45JR3LvECo,Olly Murs,Stevie Knows,Never Been Better (Special Edition),30
28,03RB6sqBAJj0uulnLkyjtG,Jay Tastic,Call My Number,Call My Number,44
29,03VbBcRhqaoH04MMlxlGIC,Roland Toubin,Presque l'amour,Presque l'amour,59
30,03j354P848KtNU2FVSwkDG,The Weeknd,Real Life,Beauty Behind The Madness,61
31,03oindyHdbAcUi7Pig4cEv,Dualities,No Trouble,No Trouble,56
32,03tqyYWC9Um2ZqU0ZN849H,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),Flockaveli,75
33,047fCsbO4NdmwCBn8pcUXl,Drake,Marvins Room,Take Care (Deluxe),74
34,04CttTezSnv71USiiG9mIo,Hearts & Colors,Lighthouse - Andrelli Remix,Lighthouse (Andrelli Remix),56
35,04MLEeAMuV9IlHEsD8vF6A,French Montana,No Stylist (feat. Drake),No Stylist,72
36,04VPp8rNmgrmbxxoSR36xq,Green Day,21 Guns,21 Guns EP,27
37,04amRUbvDaUMmE9U4Vs48E,Said the Sky,Just Us,Wide-Eyed,51
38,04wfNcEn5fPqJvjyPWGfZi,Hinder,Better Than Me,Extreme Behavior (Deluxe Edition),0
39,05CwHjIk71RXVU40boRMnR,The Chainsmokers,Call You Mine,World War Joy,11
40,05IyD7K9Q4lgu8W4Xfi9Lx,Kasbo,Found You,Found You,60
41,05NYcsjJwOYq4jIiKPVj9p,The Black Crowes,Hard To Handle,Shake Your Money Maker,69
42,05QSh6nyG3AEBVUTrJPgIk,Bogenhausen,Take Me Higher,Take Me Higher,31
43,05aZ9sAU1YXndHv0FMi9iW,Drake,Demons (feat. Fivio Foreign & Sosa Geek),Dark Lane Demo Tapes,74
44,05jD96Nz4dxIQ6ov01oBZa,Tiësto,Dawnbreaker,I Like It Loud EP,0
45,05mAIVLkIWc2d1UBYZBCp8,Charli XCX,1999,1999,66
46,05oQCqMlB0VyTcFqo9TZSx,Young M.A,Same Set,Herstory,41
47,05w2atLS1gnWcjCRWWLphI,Luca Schreiner,Keep This Fire Burning,Keep This Fire Burning,20
48,069VGijrAsQVSY9ihFv1Px,Yelawolf,Best Friend,Love Story,63
49,06Dw1I7Zc20StI8riCsNxY,Immortal Technique,Revolutionary Intro,Revolutionary Vol. 2,0
50,06R0AVKrZM91OJf1ubm80d,Clean Bandit,Symphony (feat. Zara Larsson) - Acoustic Version,Symphony (feat. Zara Larsson) [Acoustic],53
51,06UZYUYbMqpaawLgoKwSw9,Drake,Doing It Wrong,Take Care (Deluxe),47
52,06cu3EF2msKUEy0kCaY8tR,The Knocks,Kiss The Sky (feat. Wyclef Jean),55,50
53,06qKsOkkOeZzGyciSEuyJb,Fifth Harmony,The Life,7/27 (Deluxe),52
54,07DL2yKR17hiRZba5PfVZN,Camishe,With or Without You - The Distance & Igi Remix,With or Without You (The Distance & Igi Remix),37
55,07F3PrhWq1rEgTfRuFSAxx,Hedley,Lose Control,Hello,41
56,07GilNHSfS5oicUgHgU7VG,Drake,Hype,Views,47
57,07GxCQfouMr15u5Zj7Gqs7,Hopsin,Twisted,No Shame,51
58,07ROj6b3ebmFT98EgSMDpw,Steff da Campo,In & Out Of My Life - Jake Tarry Remix,In & Out Of My Life (Jake Tarry Remix),54
59,07SUu4df07BAIDZeYXhj2Q,Dagny,Fool's Gold,Fool's Gold,0
60,07WEDHF2YwVgYuBugi2ECO,Example,Kickstarts,Won't Go Quietly,63
